1,149
2,1031
3,12354
4,4890
5,8978
6,17183
7,25203
8,34216
9,34159
10,43622
11,44281
12,59174
13,31212
14,27934
15,28505
16,21892
17,20402
18,53807
19,16245
20,14923
21,13242
22,20607
23,15472
24,10346
25,9774
26,9874
27,16064
28,7399
29,6886
30,18585
31,7439
32,17210
33,5261
34,5112
35,5033
36,15816
37,3580
38,24149
39,3175
40,2900
41,3209
42,2919
43,2594
44,2327
45,2098
46,1938
47,1685
48,1820
49,1455
50,1322
51,1272
52,1123
53,1167
54,943
55,842
56,1228
57,1546
58,775
59,2173
60,3419
61,3694
62,2093
63,2674
64,2716
65,736
66,311
67,357
68,4395
69,735
70,262
71,973
72,266
73,344
74,389
75,622
76,983
77,302
78,270
79,476
80,397
81,916
82,340
83,270
84,297
85,307
86,275
87,346
88,393
89,438
90,593
91,617
92,963
93,1033
94,952
95,1138
96,671
97,793
98,881
99,788
100,807
101,9887
102,1523
103,1003
104,1301
105,971
106,1228
107,2244
108,2409
109,6217
110,3821
111,453
112,54
113,114
114,67
115,45
116,118
117,138
118,58
119,47
120,79
121,47
122,78
123,63
124,503
125,95
126,152
127,293
128,55
129,10
130,9
131,14
132,7
133,5
134,4
135,11
136,2
137,6
138,3
139,4
140,3
141,67
142,2
143,11
144,11
145,3
146,5
147,8
148,5
149,7
150,19
151,10
152,41
153,26
154,59
155,17
156,5
157,8
158,8
159,6
160,8
161,2
162,4
163,5
164,3
165,5
166,4
167,3
168,5
169,3
170,2
171,2
172,25
174,1
175,4
176,6
177,11
178,313
179,5
180,2
181,2
183,1
184,1
185,3
186,4
187,1
190,17
192,1
196,3
197,1
199,1
200,1
202,15
203,1
204,1
205,1
207,2
210,17
211,1
213,1
214,1
215,1
219,1
255,3
